order_id,weight (lbs),volume (in3)
21395,648,2023
21396,271,1296
21397,265,2050
21398,622,7499
21399,386,2723
21400,452,2505
21401,3968,15402
21402,88,160
21403,273,2062
21404,1014,3161
21405,2004,6199
21406,1069,6093
21407,342,1052
21408,443,2073
21409,1411,6093
21410,287,957
21411,287,957
21412,5512,28603
21413,575,1753
21414,1102,6459
21415,5600,12259
21416,3748,17013
21417,507,2695
21418,220,2847
21419,118,7980
21420,110,1886
21421,353,1206
21422,331,2531
21423,220,10756
21424,225,1757
21425,403,2004
21426,180,10368
21427,90,27000
21428,1200,139750
21429,144,24804
21430,200,57600
21431,300,65800
21432,30,27000
21433,882,2224
21434,105,19776
21435,410,66318
21436,266,22297
21437,1863,23902
21438,284,2085
21439,331,8238
21440,152,2435
21441,419,2963
21442,49,212
21443,152,2435
21444,661,6591
21445,15,530
21446,322,1330
21447,2427,15070
21448,952,3017
21449,926,9608
21450,276,1686
21451,322,1330
21452,441,2953
21453,441,2953
21454,1102,4480
21455,683,3875
21456,276,1686
21457,276,1686
21458,441,781
21459,236,1435
21460,615,4775
21461,236,1435
21462,1748,6199
21463,992,6591
21464,342,1722
21465,254,1875
21466,401,5624
21467,331,949
21468,522,87168
21469,1764,3163
21470,860,8700
21471,1323,15797
21472,251,1227
21473,225,23520
21474,17,46660
21475,280,29160
21476,280,29160
21477,140,16038
21478,640,150176
21479,250,28000
21480,40,1533
21481,661,4593
21482,860,8700
21483,670,10779
21484,540,11534
21485,1041,5272
21486,1649,3752
21487,154,2372
21488,573,1704
21489,10267,61787
21490,4409,56943
21491,1653,12997
21492,776,5390
21493,1102,1687
21494,306,1112
21495,287,1599
21496,813,4320
21497,1019,12654
21498,875,4583
21499,353,10768
21500,1739,5767
21501,66,1201
21502,1041,5272
21503,291,4335
21504,322,1752
21505,176,44523
21506,772,7323
21507,902,6333
21508,529,1687
21509,95,1438
21510,1852,10150
21511,798,3318
21512,326,3721
21513,1984,9031
21514,114,20100
21515,597,3398
21516,396,66318
21517,10800,1555200
21518,220,1424
21519,348,2156
21520,220,2847
21521,291,1589
21522,902,6333
21523,1841,8743
21524,425,83089
21525,114,20100
21526,19,331080
21527,158,43649
21528,285,24300
21529,162,37672
21530,102,25076
21531,180,33120
21532,1675,10092
21533,1274,6643
21534,12553,56943
21535,364,1450
21536,51,1681
21537,243,1927
21538,331,3082
21539,236,1435
21540,236,1435
21541,4,197
21542,1338,7830
21543,485,7967
21544,1850,9780
21545,231,1053
21546,1043,6442
21547,1041,5272
21548,243,1133
21549,150,1476
21550,529,5062
21551,267,1882
21552,961,6267
21553,311,1482
21554,4850,12843
21555,386,2324
21556,699,7395
21557,278,2539
21558,278,2539
21559,276,1641
21560,694,19772
21561,763,4844
21562,1587,5885
21563,560,118408
21564,159,1325
21565,265,1648
21566,805,2595
21567,315,2331
21568,328,3058
21569,113,1980
21570,1019,303160
21571,240,93984
21572,113,1980
21573,839,160272
21574,214,1977
21575,181,49600
21576,11023,46117
21577,51,896
21578,97,1576
21579,509,1674
21580,1224,6384
21581,331,2587
21582,198,4452
21583,198,4452
21584,88,214
21585,1261,7597
21586,560,1529
21587,560,1529
21588,606,3709
21589,606,3139
21590,661,4046
21591,209,1367
21592,926,6854
21593,22,1051
21594,617,5858
21595,5084,12095
21596,659,3201
21597,154,1845
21598,309,2683
21599,2216,23356
21600,1852,10150
21601,428,2736
21602,472,5226
21603,357,1968
21604,441,2658
21605,1548,20289
21606,1940,3161
21607,357,1968
21608,353,1230
21609,77,732
21610,2072,14394
21611,714,5627
21612,386,427
21613,271,1503
21614,309,2711
21615,106,1648
21616,882,4163
21617,386,2224
21618,1041,5272
21619,187,3770
21620,298,1076
21621,78,24576
21622,298,949
21623,617,4233
21624,105,23625
21625,410,69552
21626,128,13520
21627,38,18492
21628,300,49680
21629,1200,172800
21630,163,43680
21631,529,7628
21632,150,20280
21633,202,61000
21634,679,2868
21635,240,1939
21636,688,4877
21637,368,2834
21638,4771,5474
21639,348,2513
21640,227,586
21641,298,1475
21642,2646,6847
21643,249,2862
21644,249,1362
21645,348,1797
21646,1433,19376
21647,397,404
21648,86,2490
21649,1720,5472
21650,452,2442
21651,772,7323
21652,904,3829
21653,470,2444
21654,2205,12654
21655,262,759
21656,331,890
21657,840,4745
21658,331,890
21659,461,2666
21660,295,2953
21661,99,1648
21662,1124,12449
21663,703,3519
21664,231,1409
21665,165,3281
21666,772,4018
21667,231,1409
21668,772,3332
21669,830,207360
21670,20,27648
21671,794,9373
21672,22,844
21673,52,20096
21674,52,20096
21675,11,10512
21676,265,2467
21677,130,14580
21678,114,20100
21679,1448,8553
21680,937,2250
21681,470,3605
21682,110,1265
21683,606,2266
21684,291,1547
21685,780,5849
21686,377,2366
21687,40,145
21688,9982,50616
21689,915,6327
21690,873,4047
21691,441,76
21692,571,4499
21693,110,1265
21694,82,1589
21695,33,1038
21696,562,847
21697,551,1286
21698,229,237
21699,4623,13570
21700,55,1269
21701,476,2343
21702,485,3515
21703,1876,7095
21704,661,4230
21705,154,2636
21706,496,1922
21707,220,2284
21708,132,2485
21709,719,3045
21710,238,7
21711,260,7
21712,1852,4511
21713,386,1081
21714,655,2794
21715,582,1966
21716,271,1503
21717,582,1966
21718,542,1525
21719,300,743
21720,1473,3161
21721,1325,4691
21722,287,1666
21723,1358,7381
21724,1224,7598
21725,300,743
21726,518,3414
21727,11975,28134
21728,249,45753
21729,40,21952
21730,435,87912
21731,1678,320544
21732,335,52728
21733,730,4449
21734,1250,518400
21735,739,3218
21736,298,1076
21737,906,14060
21738,582,1952
21739,2910,24713
21740,302,2667
21741,331,256
21742,1662,14060
21743,357,1850
21744,256,1382
21745,331,1238
21746,18,170
21747,324,4098
21748,18,170
21749,1371,21090
21750,1433,4477
21751,1323,10272
21752,9,148
21753,474,2066
21754,121,1206
21755,362,1002
21756,225,336
21757,624,6234
21758,985,5513
21759,551,4132
21760,276,1031
21761,140,23232
21762,397,122
21763,661,7381
21764,45,31200
21765,180,53912
21766,450,43516
21767,1746,8682
21768,386,1250
21769,551,1286
21770,917,5557
21771,273,2812
21772,10602,33650
21773,10512,50616
21774,77,475
21775,569,5677
21776,445,2792
21777,399,2087
21778,723,5331
21779,441,2709
21780,441,2709
21781,373,2366
21782,331,5229
21783,309,979
21784,3805,15590
21785,441,3783
21786,1477,3980
21787,992,2656
21788,452,1634
21789,406,1271
21790,311,2078
21791,2149,6579
21792,1080,3499
21793,282,2165
21794,64,1117
21795,265,412
21796,567,2792
21797,783,4800
21798,1184,5877
21799,485,6453
21800,120,78400
21801,160,17576
21802,414,949
21803,200,8000
21804,838,160272
21805,200,8000
21806,125,5000
21807,25,36000
21808,736,45792
21809,414,949
21810,331,1922
21811,120,3240
21812,600,137760
21813,743,5292
21814,1019,2305
21815,287,2343
21816,287,2343
21817,315,3221
21818,992,1722
21819,126,743
21820,1620,5249
21821,309,2661
21822,231,750
21823,511,3046
21824,529,2870
21825,331,875
21826,265,584
21827,1041,5272
21828,838,7826
21829,452,2505
21830,220,3661
21831,2205,4218
21832,351,1793
21833,855,3161
21834,73,22272
21835,225,39780
21836,3298,15009
21837,246,120360
21838,558,2792
21839,556,3374
21840,165,3327
21841,1041,5536
21842,216,275
21843,994,5623
21844,549,2792
21845,88,2689
21846,210,39150
21847,787,4104
21848,231,697
21849,309,930
21850,494,2275
21851,661,4668
21852,840,3588
21853,397,1906
21854,130,48000
21855,397,1906
21856,2205,12918
21857,1437,5331
21858,180,33048
21859,309,1418
21860,154,2471
21861,534,1551
21862,79941,50616
21863,375,7171
21864,357,1282
21865,1058,3172
21866,99,446
21867,2315,4378
21868,154,4435
21869,9991,50616
21870,470,2386
21871,463,2789
21872,44,1196
21873,697,718
21874,445,2792
21875,507,4028
21876,470,3413
21877,1052,1844
21878,88,1265
21879,1069,5702
21880,1852,10150
21881,2784,19311
21882,2425,14831
21883,1351,2554
21884,2881,8040
21885,1177,1841
21886,114,31488
21887,95,91000
21888,705,437
21889,4325,18193
21890,2346,8104
21891,1852,10150
21892,289,3327
21893,172,3244
21894,375,9847
21895,313,4798
21896,1347,7846
21897,2161,6999
21898,106,1933
21899,220,2109
21900,3111,4783
21901,1041,7074
21902,575,2698
21903,551,406
21904,298,618
21905,1852,10150
21906,452,2792
21907,234,1054
21908,1640,276480
21909,908,91507
21910,430,2124
21911,761,4238
21912,298,1076
21913,278,2004
21914,2866,4687
21915,243,622
21916,1830,19900
21917,267,1947
21918,1102,6459
21919,223,1179
21920,1058,3172
21921,948,5530
21922,1473,3161
21923,2425,10047
21924,260,366
21925,452,2505
21926,276,2768
21927,489,2792
21928,72,41800
21929,3527,19069
21930,2714,12231
21931,2597,7777
21932,1168,423654
21933,1102,6459
21934,243,1436
21935,1768,5584
21936,582,1514
21937,1102,1424
21938,1409,10828
21939,1852,10150
21940,1989,7372
21941,55,2197
21942,247,844
21943,3924,16040
21944,265,750
21945,926,4448
21946,293,70658
21947,196,95776
21948,168,31680
21949,270,91840
21950,926,4448
21951,1415,4455
21952,133,14700
21953,379,92160
21954,14,11448
21955,271,36094
21956,106,23916
21957,105,19575
21958,386,3224
21959,1091,1265
21960,205,1305
21961,538,3098
21962,364,2819
21963,745,3281
21964,463,5563
21965,1041,9561
21966,1025,5828
21967,150,1424
21968,849,7842
21969,1520,441040
21970,218,72465
21971,1186,6067
21972,125,35632
21973,423,516
21974,734,194040
21975,96,28248
21976,137,23472
21977,44,20736
21978,131,14112
21979,167,20661
21980,134,5122
21981,605,68470
21982,639,3573
21983,1764,3316
21984,311,1309
21985,573,878
21986,84,40408
21987,441,3465
21988,40,791
21989,331,2966
21990,42,603
21991,2575,9139
21992,154,2089
21993,1433,26378
21994,529,6630
21995,42,603
21996,1700,15525
21997,154,1230
21998,410,6293
21999,99,1246
